Time_A,Time_B,X,Y,Vx,Vy 
88.5,89.5,1501.7555541992188,740.9281005859375,-0.4888916,-0.14379883
88.5,89.5,721.1079711914062,257.12554931640625,0.21594238,0.25109863
88.5,89.5,1339.8406372070312,406.0540771484375,-0.3187256,0.1081543
88.5,89.5,1309.8546142578125,403.0487365722656,-0.29077148,0.097473145
88.5,89.5,1332.839111328125,406.0558319091797,-0.32177734,0.11166382
88.5,89.5,1324.8345947265625,378.03948974609375,-0.33081055,0.07897949
88.5,89.5,1316.8428344726562,349.09002685546875,-0.31433105,0.18005371
88.5,89.5,1320.8388061523438,497.0215606689453,-0.3223877,0.043121338
88.5,89.5,1275.8714599609375,328.09779357910156,-0.25708008,0.19558716
88.5,89.5,1301.8626098632812,417.06541442871094,-0.27478027,0.13082886
88.5,89.5,1270.8628540039062,343.08848571777344,-0.274292,0.17697144
88.5,89.5,734.099853515625,245.13050842285156,0.19970703,0.26101685
88.5,89.5,1314.8507690429688,411.06304931640625,-0.2984619,0.12609863
88.5,89.5,808.0677490234375,204.14398193359375,0.13549805,0.28796387
88.5,89.5,1170.9091186523438,142.16468048095703,-0.1817627,0.32936096
88.5,89.5,1304.85205078125,426.0717468261719,-0.29589844,0.14349365
88.5,89.5,1296.8695678710938,393.0408630371094,-0.26086426,0.081726074
88.5,89.5,644.1298217773438,327.0923309326172,0.25964355,0.18466187
88.5,89.5,1278.8677978515625,307.104248046875,-0.2644043,0.2084961
88.5,89.5,1101.9275512695312,169.14835357666016,-0.14489746,0.29670715
88.5,89.5,1358.8321533203125,465.02801513671875,-0.33569336,0.056030273
88.5,89.5,1275.8678588867188,339.0924072265625,-0.26428223,0.18481445
88.5,89.5,1148.93994140625,859.8694152832031,-0.12011719,-0.26116943
88.5,89.5,1294.8720703125,398.0503387451172,-0.25585938,0.10067749
88.5,89.5,1297.8670654296875,414.05517578125,-0.26586914,0.11035156
88.5,89.5,1321.8362426757812,348.0909118652344,-0.32751465,0.18182373
88.5,89.5,1316.8519897460938,406.04345703125,-0.2960205,0.08691406
88.5,89.5,1291.8710327148438,393.0403747558594,-0.25793457,0.08074951
88.5,89.5,1346.8417358398438,327.0939178466797,-0.31652832,0.1878357
88.5,89.5,1340.8461303710938,400.04676818847656,-0.30773926,0.09353638
88.5,89.5,1320.8348388671875,506.02593994140625,-0.33032227,0.051879883
88.5,89.5,1327.8418579101562,405.0532989501953,-0.31628418,0.1065979
88.5,89.5,928.0167846679688,176.15430450439453,0.033569336,0.308609
88.5,89.5,1374.7910766601562,306.10777282714844,-0.41784668,0.21554565
88.5,89.5,1271.8676147460938,331.0955810546875,-0.2647705,0.19116211
88.5,89.5,655.1337585449219,337.0928192138672,0.2675171,0.18563843
88.5,89.5,641.13134765625,358.0626983642578,0.2626953,0.12539673
88.5,89.5,1305.8580322265625,399.04335021972656,-0.28393555,0.08670044
88.5,89.5,739.0993347167969,223.12925720214844,0.19866943,0.2585144
88.5,89.5,1363.8094482421875,437.0572814941406,-0.38110352,0.11456299
88.5,89.5,1263.8630981445312,342.07395935058594,-0.2738037,0.1479187
88.5,89.5,1351.837646484375,327.0939636230469,-0.32470703,0.18792725
88.5,89.5,721.1012573242188,247.12518310546875,0.20251465,0.2503662
88.5,89.5,682.1195068359375,305.1075744628906,0.23901367,0.21514893
88.5,89.5,1297.8751220703125,669.9740295410156,-0.24975586,-0.051940918
88.5,89.5,796.0776062011719,208.1406707763672,0.1552124,0.28134155
88.5,89.5,1280.8676147460938,312.1028289794922,-0.2647705,0.20565796
88.5,89.5,1335.845947265625,400.0448455810547,-0.30810547,0.08969116
88.5,89.5,1264.8657836914062,335.0816650390625,-0.26843262,0.16333008
88.5,89.5,1387.7914428710938,307.11279296875,-0.41711426,0.22558594
88.5,89.5,1354.8247680664062,450.03746032714844,-0.35046387,0.074920654
88.5,89.5,1381.7903442382812,306.1104278564453,-0.41931152,0.22085571
88.5,89.5,609.1524963378906,436.0755310058594,0.30499268,0.15106201
88.5,89.5,1312.8445434570312,421.0669403076172,-0.3109131,0.13388062
88.5,89.5,1153.93798828125,856.8717651367188,-0.12402344,-0.25646973
88.5,89.5,1141.94970703125,853.8710327148438,-0.10058594,-0.25793457
88.5,89.5,1282.8704223632812,319.1011199951172,-0.25915527,0.20223999
88.5,89.5,739.1014709472656,231.13421630859375,0.2029419,0.26843262
88.5,89.5,695.1170959472656,274.1170349121094,0.2341919,0.23406982
88.5,89.5,1294.8614501953125,320.1006317138672,-0.2770996,0.20126343
88.5,89.5,1325.8275146484375,487.01914978027344,-0.3449707,0.03829956
88.5,89.5,739.1037902832031,237.13282775878906,0.20758057,0.26565552
88.5,89.5,694.1163940429688,280.1145477294922,0.23278809,0.22909546
88.5,89.5,1264.8696899414062,327.09754943847656,-0.26062012,0.19509888
88.5,89.5,1241.8809204101562,312.09710693359375,-0.23815918,0.19421387
88.5,89.5,1317.8461303710938,420.07423400878906,-0.30773926,0.14846802
88.5,89.5,728.1006469726562,246.12918853759766,0.20129395,0.25837708
88.5,89.5,1327.8413696289062,410.06036376953125,-0.31726074,0.12072754
88.5,89.5,1366.8016967773438,433.07383728027344,-0.39660645,0.14767456
88.5,89.5,1286.8729248046875,382.0873565673828,-0.2541504,0.17471313
88.5,89.5,1320.8385009765625,489.0191650390625,-0.32299805,0.038330078
88.5,89.5,622.1470336914062,401.0649719238281,0.29406738,0.12994385
88.5,89.5,1280.8651123046875,370.10174560546875,-0.2697754,0.20349121
88.5,89.5,1366.80322265625,456.0387420654297,-0.3935547,0.07748413
88.5,89.5,1312.8568725585938,678.9623107910156,-0.28625488,-0.07537842
88.5,89.5,1251.8724975585938,326.0926971435547,-0.25500488,0.18539429
88.5,89.5,646.1282958984375,336.0929718017578,0.2565918,0.1859436
88.5,89.5,1341.8246459960938,465.0313415527344,-0.350708,0.062683105
88.5,89.5,1282.8740844726562,326.10194396972656,-0.25183105,0.20388794
88.5,89.5,1347.8594970703125,534.9989013671875,-0.28100586,-0.0021972656
88.5,89.5,1259.8659057617188,332.0908660888672,-0.26818848,0.18173218
88.5,89.5,1377.795654296875,529.0012817382812,-0.4086914,0.0025634766
88.5,89.5,1163.93408203125,214.1370086669922,-0.13183594,0.27401733
88.5,89.5,1358.8303833007812,534.0122375488281,-0.3392334,0.024475098
88.5,89.5,1332.811767578125,486.02577209472656,-0.37646484,0.05154419
88.5,89.5,1574.731689453125,915.8410034179688,-0.5366211,-0.31799316
88.5,89.5,595.1529846191406,450.0653076171875,0.30596924,0.13061523
88.5,89.5,1350.8374633789062,316.10581970214844,-0.32507324,0.2116394
